ci,lac,latitude,longitude,cell_name,address
156513035,6114,10.789308,106.735289,4G-Q02003F11-HCM,"Cao ốc Bình Minh, Đường Vành Đai Phía Tây, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
156514059,6114,10.790453,106.745383,4G-Q02022F11-HCM,"Cao ốc Bình Minh, Đường Vành Đai Phía Tây, P. Bình An, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
11371,254,10.788975,106.771053,2G_Q02030F21_HCM,"Cao ốc Thịnh Vượng, 531 Đ. Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12851,26118,10.792061,106.760637,3G_Q02173F11_HCM,"ĐCT Thành phố Hồ Chí Minh - Long Thành - Dầu Giây, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam"
12852,26118,10.792061,106.760637,3G_Q02173F12_HCM,"ĐCT Thành phố Hồ Chí Minh - Long Thành - Dầu Giây, An Phú, Quận 2, Thành phố Hồ Chí Minh 700000, Vietnam"
157277708,6114,10.78761,106.74281,4G-Q02067F12-HCM,"42-56 Đ. Số 1, An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
157281547,6114,10.77658,106.72505,4G-Q02146F11-HCM,"2 Đường 13, An Lợi Đông, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
157281548,6114,10.77658,106.72505,4G-Q02146F12-HCM,"2 Đường 13, An Lợi Đông, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
157312011,6114,10.79301,106.73901,4G-Q02041F11-HCM,"Đ. Số 4, An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
156958731,6114,10.77386,106.72712,4G-Q02149F11-HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
156958732,6114,10.77386,106.72712,4G-Q02149F12-HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
156958733,6114,10.77386,106.72712,4G-Q02149F13-HCM,"26 Đ. Trần Não, An Lợi Đông, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
158487563,6111,10.79863,106.75057,4G-Q02056F11-HCM,"Imperia, Thành phố, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
158487564,6111,10.79863,106.75057,4G-Q02056F12-HCM,"Imperia, Thành phố, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
30534,250,10.805569,106.75141,2G_Q02078F24_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
30535,250,10.805569,106.75141,2G_Q02078F25_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
30536,250,10.805569,106.75141,2G_Q02078F26_HCM,"6 An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
30894,250,10.79995,106.73866,2G_Q02007F24_HCM,"Chung cư An Phú, Song Hành, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
30904,250,10.797787,106.738178,2G_Q02008F24_HCM,"Chung cư An Thịnh, Thái Thuận, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
30914,250,10.79823,106.74296,2G_Q02010F24_HCM,"Chung cư An Phúc, An Phú, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
